epoch;accuracy;loss;val_accuracy;val_loss
0;0.23401889204978943;2.467440366744995;0.3466666638851166;1.8503875732421875
1;0.35501202940940857;1.859150767326355;0.4592592716217041;1.5225143432617188
2;0.4259774088859558;1.6219501495361328;0.5162962675094604;1.379379391670227
3;0.46618491411209106;1.4819109439849854;0.5348148345947266;1.300283670425415
4;0.5054659843444824;1.3885756731033325;0.5503703951835632;1.2207562923431396
5;0.5336297750473022;1.2881619930267334;0.5792592763900757;1.1681157350540161
6;0.5503057241439819;1.2354990243911743;0.5874074101448059;1.1415767669677734
7;0.5667963624000549;1.2009835243225098;0.6029629707336426;1.1061433553695679
8;0.5881044864654541;1.1442896127700806;0.6222222447395325;1.0593405961990356
9;0.606262743473053;1.1224337816238403;0.6214814782142639;1.0535169839859009
10;0.6251621246337891;1.06966233253479;0.636296272277832;1.018316388130188
11;0.6249768137931824;1.0646073818206787;0.6429629921913147;0.9987906217575073
12;0.642393946647644;1.0058708190917969;0.6437036991119385;0.9975208640098572
13;0.6472114324569702;0.9979869723320007;0.661481499671936;0.9554418921470642
14;0.6586992740631104;0.962677538394928;0.6600000262260437;0.9659799933433533
15;0.6681489944458008;0.9321800470352173;0.6733333468437195;0.9402581453323364
16;0.6761163473129272;0.9009156227111816;0.665925920009613;0.931029736995697
17;0.6909394264221191;0.8860426545143127;0.6733333468437195;0.9203211069107056
18;0.701871395111084;0.8477909564971924;0.6792592406272888;0.901920735836029
19;0.6994626522064209;0.8543670773506165;0.6881481409072876;0.8912904858589172
20;0.702612578868866;0.8410025238990784;0.6874074339866638;0.8966856598854065
21;0.7129886746406555;0.813027024269104;0.6725925803184509;0.9070461988449097
22;0.7204002141952515;0.7925482392311096;0.6962962746620178;0.8642273545265198
23;0.7320733666419983;0.763215184211731;0.7022222280502319;0.8478926420211792
24;0.7309616208076477;0.7575369477272034;0.6977777481079102;0.852534830570221
25;0.748749315738678;0.731700599193573;0.6970370411872864;0.8591581583023071
26;0.7444877028465271;0.7157953381538391;0.7029629349708557;0.8357506990432739
27;0.7476375699043274;0.7113338708877563;0.7133333086967468;0.8295208811759949
28;0.7546785473823547;0.7022832036018372;0.7066666483879089;0.8354814052581787
29;0.7630164623260498;0.6873630285263062;0.7066666483879089;0.8319336175918579
